Low	High	MinePumpSys	WaterRegulation
s0 -- setReady/1 -> s0
s0 -- highLevel/1 -> s0
s0 -- isStopped/1 -> s0
s0 -- isNotRunning/1 -> s0
s0 -- pumpStop/1 -> s0
s0 -- receiveMsg/0 -> s1
s0 -- isReady/1 -> s0
s0 -- setLowStop/1 -> s0
s0 -- isNotReady/1 -> s0
s0 -- levelMsg/1 -> s0
s0 -- setRunning/1 -> s0
s0 -- lowLevel/1 -> s0
s0 -- isRunning/1 -> s0
s0 -- end/1 -> s0
s0 -- isLowStop/1 -> s0
s0 -- pumpStart/1 -> s0
s1 -- setReady/1 -> s1
s1 -- highLevel/1 -> s1
s1 -- isStopped/1 -> s1
s1 -- isNotRunning/1 -> s1
s1 -- pumpStop/1 -> s1
s1 -- receiveMsg/1 -> s1
s1 -- isReady/1 -> s1
s1 -- setLowStop/1 -> s1
s1 -- isNotReady/1 -> s1
s1 -- levelMsg/0 -> s2
s1 -- setRunning/1 -> s1
s1 -- lowLevel/1 -> s1
s1 -- isRunning/1 -> s1
s1 -- end/1 -> s1
s1 -- isLowStop/1 -> s1
s1 -- pumpStart/1 -> s1
s2 -- setReady/1 -> s2
s2 -- highLevel/0 -> s3
s2 -- isStopped/1 -> s2
s2 -- isNotRunning/1 -> s2
s2 -- pumpStop/1 -> s2
s2 -- receiveMsg/1 -> s2
s2 -- isReady/1 -> s2
s2 -- setLowStop/1 -> s2
s2 -- isNotReady/1 -> s2
s2 -- levelMsg/1 -> s2
s2 -- setRunning/1 -> s2
s2 -- lowLevel/0 -> s4
s2 -- isRunning/1 -> s2
s2 -- end/1 -> s2
s2 -- isLowStop/1 -> s2
s2 -- pumpStart/1 -> s2
s3 -- setReady/1 -> s3
s3 -- highLevel/1 -> s3
s3 -- isStopped/0 -> s5
s3 -- isNotRunning/1 -> s3
s3 -- pumpStop/1 -> s3
s3 -- receiveMsg/1 -> s3
s3 -- isReady/0 -> s6
s3 -- setLowStop/1 -> s3
s3 -- isNotReady/1 -> s3
s3 -- levelMsg/1 -> s3
