High	MinePumpSys	Command	Start	WaterRegulation
s0 -- setReady/1 -> s0
s0 -- highLevel/1 -> s0
s0 -- isStopped/1 -> s0
s0 -- isNotRunning/1 -> s0
s0 -- startCmd/1 -> s0
s0 -- receiveMsg/0 -> s1
s0 -- isReady/1 -> s0
s0 -- commandMsg/1 -> s0
s0 -- isNotReady/1 -> s0
s0 -- levelMsg/1 -> s0
s0 -- setRunning/1 -> s0
s0 -- isRunning/1 -> s0
s0 -- end/1 -> s0
s0 -- pumpStart/1 -> s0
s1 -- setReady/1 -> s1
s1 -- highLevel/1 -> s1
s1 -- isStopped/1 -> s1
s1 -- isNotRunning/1 -> s1
s1 -- startCmd/1 -> s1
s1 -- receiveMsg/1 -> s1
s1 -- isReady/1 -> s1
s1 -- commandMsg/0 -> s2
s1 -- isNotReady/1 -> s1
s1 -- levelMsg/0 -> s3
s1 -- setRunning/1 -> s1
s1 -- isRunning/1 -> s1
s1 -- end/1 -> s1
s1 -- pumpStart/1 -> s1
s2 -- setReady/1 -> s2
s2 -- highLevel/1 -> s2
s2 -- isStopped/1 -> s2
s2 -- isNotRunning/1 -> s2
s2 -- startCmd/0 -> s4
s2 -- receiveMsg/1 -> s2
s2 -- isReady/1 -> s2
s2 -- commandMsg/1 -> s2
s2 -- isNotReady/1 -> s2
s2 -- levelMsg/1 -> s2
s2 -- setRunning/1 -> s2
s2 -- isRunning/1 -> s2
s2 -- end/1 -> s2
s2 -- pumpStart/1 -> s2
s3 -- setReady/1 -> s3
s3 -- highLevel/0 -> s5
s3 -- isStopped/1 -> s3
s3 -- isNotRunning/1 -> s3
s3 -- startCmd/1 -> s3
s3 -- receiveMsg/1 -> s3
s3 -- isReady/1 -> s3
s3 -- commandMsg/1 -> s3
s3 -- isNotReady/1 -> s3
s3 -- levelMsg/1 -> s3
s3 -- setRunning/1 -> s3
s3 -- isRunning/1 -> s3
s3 -- end/1 -> s3
s3 -- pumpStart/1 -> s3
s4 -- setReady/1 -> s4
s4 -- highLevel/1 -> s4
