High	MinePumpSys	WaterRegulation	Normal
s0 -- setReady/1 -> s0
s0 -- setRunning/1 -> s0
s0 -- highLevel/1 -> s0
s0 -- isStopped/1 -> s0
s0 -- isRunning/1 -> s0
s0 -- receiveMsg/0 -> s1
s0 -- isReady/1 -> s0
s0 -- end/1 -> s0
s0 -- isNotReady/1 -> s0
s0 -- levelMsg/1 -> s0
s0 -- pumpStart/1 -> s0
s1 -- setReady/1 -> s1
s1 -- setRunning/1 -> s1
s1 -- highLevel/1 -> s1
s1 -- isStopped/1 -> s1
s1 -- isRunning/1 -> s1
s1 -- receiveMsg/1 -> s1
s1 -- isReady/1 -> s1
s1 -- end/1 -> s1
s1 -- isNotReady/1 -> s1
s1 -- levelMsg/0 -> s2
s1 -- pumpStart/1 -> s1
s2 -- setReady/1 -> s2
s2 -- setRunning/1 -> s2
s2 -- highLevel/0 -> s3
s2 -- isStopped/1 -> s2
s2 -- isRunning/1 -> s2
s2 -- receiveMsg/1 -> s2
s2 -- isReady/1 -> s2
s2 -- end/0 -> s0
s2 -- isNotReady/1 -> s2
s2 -- levelMsg/1 -> s2
s2 -- pumpStart/1 -> s2
s3 -- setReady/1 -> s3
s3 -- setRunning/1 -> s3
s3 -- highLevel/1 -> s3
s3 -- isStopped/0 -> s4
s3 -- isRunning/0 -> s4
s3 -- receiveMsg/1 -> s3
s3 -- isReady/0 -> s5
s3 -- end/1 -> s3
s3 -- isNotReady/1 -> s3
s3 -- levelMsg/1 -> s3
s3 -- pumpStart/1 -> s3
s4 -- setReady/1 -> s4
s4 -- setRunning/1 -> s4
s4 -- highLevel/1 -> s4
s4 -- isStopped/1 -> s4
s4 -- isRunning/1 -> s4
s4 -- receiveMsg/1 -> s4
s4 -- isReady/1 -> s4
s4 -- end/0 -> s0
s4 -- isNotReady/1 -> s4
s4 -- levelMsg/1 -> s4
s4 -- pumpStart/1 -> s4
s5 -- setReady/0 -> s6
s5 -- setRunning/1 -> s5
s5 -- highLevel/1 -> s5
s5 -- isStopped/1 -> s5
s5 -- isRunning/1 -> s5
s5 -- receiveMsg/1 -> s5
s5 -- isReady/1 -> s5
s5 -- end/1 -> s5
s5 -- isNotReady/1 -> s5
s5 -- levelMsg/1 -> s5
s5 -- pumpStart/1 -> s5
s6 -- setReady/1 -> s6
s6 -- setRunning/1 -> s6
s6 -- highLevel/1 -> s6
s6 -- isStopped/1 -> s6
s6 -- isRunning/1 -> s6
s6 -- receiveMsg/1 -> s6
s6 -- isReady/0 -> s7
s6 -- end/1 -> s6
s6 -- isNotReady/0 -> s4
s6 -- levelMsg/1 -> s6
s6 -- pumpStart/1 -> s6
s7 -- setReady/1 -> s7
s7 -- setRunning/1 -> s7
s7 -- highLevel/1 -> s7
s7 -- isStopped/1 -> s7
s7 -- isRunning/1 -> s7
s7 -- receiveMsg/1 -> s7
s7 -- isReady/1 -> s7
s7 -- end/1 -> s7
s7 -- isNotReady/1 -> s7
s7 -- levelMsg/1 -> s7
s7 -- pumpStart/0 -> s8
s8 -- setReady/1 -> s8
s8 -- setRunning/0 -> s4
s8 -- highLevel/1 -> s8
s8 -- isStopped/1 -> s8
s8 -- isRunning/1 -> s8
s8 -- receiveMsg/1 -> s8
s8 -- isReady/1 -> s8
s8 -- end/1 -> s8
s8 -- isNotReady/1 -> s8
s8 -- levelMsg/1 -> s8
s8 -- pumpStart/1 -> s8
