High	MinePumpSys	Command	Stop	WaterRegulation
s0 -- setReady/1 -> s0
s0 -- isNotRunning/1 -> s0
s0 -- highLevel/1 -> s0
s0 -- isStopped/1 -> s0
s0 -- pumpStop/1 -> s0
s0 -- receiveMsg/0 -> s1
s0 -- isReady/1 -> s0
s0 -- commandMsg/1 -> s0
s0 -- isNotReady/1 -> s0
s0 -- levelMsg/1 -> s0
s0 -- setRunning/1 -> s0
s0 -- setStop/1 -> s0
s0 -- isRunning/1 -> s0
s0 -- stopCmd/1 -> s0
s0 -- end/1 -> s0
s0 -- pumpStart/1 -> s0
s1 -- setReady/1 -> s1
s1 -- isNotRunning/1 -> s1
s1 -- highLevel/1 -> s1
s1 -- isStopped/1 -> s1
s1 -- pumpStop/1 -> s1
s1 -- receiveMsg/1 -> s1
s1 -- isReady/1 -> s1
s1 -- commandMsg/0 -> s2
s1 -- isNotReady/1 -> s1
s1 -- levelMsg/0 -> s3
s1 -- setRunning/1 -> s1
s1 -- setStop/1 -> s1
s1 -- isRunning/1 -> s1
s1 -- stopCmd/1 -> s1
s1 -- end/1 -> s1
s1 -- pumpStart/1 -> s1
s2 -- setReady/1 -> s2
s2 -- isNotRunning/1 -> s2
s2 -- highLevel/1 -> s2
s2 -- isStopped/1 -> s2
s2 -- pumpStop/1 -> s2
s2 -- receiveMsg/1 -> s2
s2 -- isReady/1 -> s2
s2 -- commandMsg/1 -> s2
s2 -- isNotReady/1 -> s2
s2 -- levelMsg/1 -> s2
s2 -- setRunning/1 -> s2
s2 -- setStop/1 -> s2
s2 -- isRunning/1 -> s2
s2 -- stopCmd/0 -> s4
s2 -- end/1 -> s2
s2 -- pumpStart/1 -> s2
s3 -- setReady/1 -> s3
s3 -- isNotRunning/1 -> s3
s3 -- highLevel/0 -> s5
s3 -- isStopped/1 -> s3
s3 -- pumpStop/1 -> s3
s3 -- receiveMsg/1 -> s3
s3 -- isReady/1 -> s3
s3 -- commandMsg/1 -> s3
s3 -- isNotReady/1 -> s3
s3 -- levelMsg/1 -> s3
s3 -- setRunning/1 -> s3
s3 -- setStop/1 -> s3
s3 -- isRunning/1 -> s3
s3 -- stopCmd/1 -> s3
s3 -- end/1 -> s3
s3 -- pumpStart/1 -> s3
s4 -- setReady/1 -> s4
s4 -- isNotRunning/0 -> s6
s4 -- highLevel/1 -> s4
s4 -- isStopped/1 -> s4
s4 -- pumpStop/1 -> s4
s4 -- receiveMsg/1 -> s4
s4 -- isReady/1 -> s4
s4 -- commandMsg/1 -> s4
s4 -- isNotReady/1 -> s4
s4 -- levelMsg/1 -> s4
s4 -- setRunning/1 -> s4
s4 -- setStop/1 -> s4
s4 -- isRunning/0 -> s7
s4 -- stopCmd/1 -> s4
s4 -- end/1 -> s4
s4 -- pumpStart/1 -> s4
s5 -- setReady/1 -> s5
s5 -- isNotRunning/1 -> s5
s5 -- highLevel/1 -> s5
s5 -- isStopped/0 -> s8
s5 -- pumpStop/1 -> s5
s5 -- receiveMsg/1 -> s5
s5 -- isReady/0 -> s9
s5 -- commandMsg/1 -> s5
s5 -- isNotReady/1 -> s5
s5 -- levelMsg/1 -> s5
s5 -- setRunning/1 -> s5
s5 -- setStop/1 -> s5
s5 -- isRunning/0 -> s8
s5 -- stopCmd/1 -> s5
s5 -- end/1 -> s5
s5 -- pumpStart/1 -> s5
s6 -- setReady/1 -> s6
s6 -- isNotRunning/1 -> s6
s6 -- highLevel/1 -> s6
s6 -- isStopped/1 -> s6
s6 -- pumpStop/1 -> s6
s6 -- receiveMsg/1 -> s6
s6 -- isReady/1 -> s6
s6 -- commandMsg/1 -> s6
s6 -- isNotReady/1 -> s6
s6 -- levelMsg/1 -> s6
s6 -- setRunning/1 -> s6
s6 -- setStop/0 -> s8
s6 -- isRunning/1 -> s6
s6 -- stopCmd/1 -> s6
s6 -- end/1 -> s6
s6 -- pumpStart/1 -> s6
s7 -- setReady/1 -> s7
s7 -- isNotRunning/1 -> s7
s7 -- highLevel/1 -> s7
s7 -- isStopped/1 -> s7
s7 -- pumpStop/0 -> s6
s7 -- receiveMsg/1 -> s7
s7 -- isReady/1 -> s7
s7 -- commandMsg/1 -> s7
s7 -- isNotReady/1 -> s7
s7 -- levelMsg/1 -> s7
s7 -- setRunning/1 -> s7
s7 -- setStop/1 -> s7
s7 -- isRunning/1 -> s7
s7 -- stopCmd/1 -> s7
s7 -- end/1 -> s7
s7 -- pumpStart/1 -> s7
s8 -- setReady/1 -> s8
s8 -- isNotRunning/1 -> s8
s8 -- highLevel/1 -> s8
s8 -- isStopped/1 -> s8
s8 -- pumpStop/1 -> s8
s8 -- receiveMsg/1 -> s8
s8 -- isReady/1 -> s8
s8 -- commandMsg/1 -> s8
s8 -- isNotReady/1 -> s8
s8 -- levelMsg/1 -> s8
s8 -- setRunning/1 -> s8
s8 -- setStop/1 -> s8
s8 -- isRunning/1 -> s8
s8 -- stopCmd/1 -> s8
s8 -- end/0 -> s0
s8 -- pumpStart/1 -> s8
s9 -- setReady/0 -> s10
s9 -- isNotRunning/1 -> s9
s9 -- highLevel/1 -> s9
s9 -- isStopped/1 -> s9
s9 -- pumpStop/1 -> s9
s9 -- receiveMsg/1 -> s9
s9 -- isReady/1 -> s9
s9 -- commandMsg/1 -> s9
s9 -- isNotReady/1 -> s9
s9 -- levelMsg/1 -> s9
s9 -- setRunning/1 -> s9
s9 -- setStop/1 -> s9
s9 -- isRunning/1 -> s9
s9 -- stopCmd/1 -> s9
s9 -- end/1 -> s9
s9 -- pumpStart/1 -> s9
s10 -- setReady/1 -> s10
s10 -- isNotRunning/1 -> s10
s10 -- highLevel/1 -> s10
s10 -- isStopped/1 -> s10
s10 -- pumpStop/1 -> s10
s10 -- receiveMsg/1 -> s10
s10 -- isReady/0 -> s11
s10 -- commandMsg/1 -> s10
s10 -- isNotReady/0 -> s8
s10 -- levelMsg/1 -> s10
s10 -- setRunning/1 -> s10
s10 -- setStop/1 -> s10
s10 -- isRunning/1 -> s10
s10 -- stopCmd/1 -> s10
s10 -- end/1 -> s10
s10 -- pumpStart/1 -> s10
s11 -- setReady/1 -> s11
s11 -- isNotRunning/1 -> s11
s11 -- highLevel/1 -> s11
s11 -- isStopped/1 -> s11
s11 -- pumpStop/1 -> s11
s11 -- receiveMsg/1 -> s11
s11 -- isReady/1 -> s11
s11 -- commandMsg/1 -> s11
s11 -- isNotReady/1 -> s11
s11 -- levelMsg/1 -> s11
s11 -- setRunning/1 -> s11
s11 -- setStop/1 -> s11
s11 -- isRunning/1 -> s11
s11 -- stopCmd/1 -> s11
s11 -- end/1 -> s11
s11 -- pumpStart/0 -> s12
s12 -- setReady/1 -> s12
s12 -- isNotRunning/1 -> s12
s12 -- highLevel/1 -> s12
s12 -- isStopped/1 -> s12
s12 -- pumpStop/1 -> s12
s12 -- receiveMsg/1 -> s12
s12 -- isReady/1 -> s12
s12 -- commandMsg/1 -> s12
s12 -- isNotReady/1 -> s12
s12 -- levelMsg/1 -> s12
s12 -- setRunning/0 -> s8
s12 -- setStop/1 -> s12
s12 -- isRunning/1 -> s12
s12 -- stopCmd/1 -> s12
s12 -- end/1 -> s12
s12 -- pumpStart/1 -> s12
