Learning order,Order metric
[12; 9; 14; 6; 5; 13; 16; 3; 1; 15; 11; 8; 10; 2; 4; 7],  -30.0
[7; 1; 6; 16; 15; 4; 13; 14; 8; 3; 5; 2; 12; 10; 9; 11],  -72.0
[13; 2; 15; 1; 9; 11; 5; 12; 8; 10; 16; 6; 4; 14; 7; 3],  -38.0
[2; 11; 4; 14; 12; 1; 15; 8; 7; 3; 6; 10; 13; 16; 5; 9],  -74.0
[15; 10; 11; 12; 3; 5; 4; 16; 7; 2; 8; 14; 13; 1; 6; 9],  -80.0
[1; 2; 3; 7; 8; 12; 6; 11; 14; 13; 10; 4; 5; 9; 15; 16],  -62.0
[14; 9; 15; 10; 2; 1; 4; 8; 16; 3; 12; 11; 5; 13; 7; 6],  -50.0
[1; 8; 14; 10; 15; 3; 9; 7; 12; 6; 11; 2; 16; 5; 13; 4],  -54.0
[6; 15; 12; 13; 1; 10; 4; 16; 7; 2; 14; 9; 11; 5; 3; 8],  -104.0
[5; 15; 6; 13; 9; 12; 8; 16; 4; 2; 7; 1; 14; 11; 10; 3],  -56.0
[11; 3; 10; 5; 1; 9; 14; 2; 8; 7; 6; 13; 12; 15; 4; 16],  -62.0
[12; 2; 14; 1; 9; 4; 10; 15; 7; 11; 8; 13; 5; 6; 16; 3],  -62.0
[16; 14; 8; 12; 4; 2; 3; 1; 7; 9; 15; 13; 11; 6; 5; 10],  -54.0
[8; 2; 5; 13; 15; 7; 9; 14; 1; 6; 10; 4; 12; 3; 11; 16],  -42.0
[8; 13; 4; 14; 11; 7; 15; 1; 2; 16; 6; 3; 9; 5; 10; 12],  -54.0
[14; 15; 16; 1; 12; 10; 4; 2; 6; 3; 9; 8; 11; 7; 5; 13],  -50.0
[14; 12; 9; 5; 10; 3; 6; 2; 4; 11; 16; 13; 8; 7; 1; 15],  -42.0
[4; 16; 14; 1; 9; 8; 13; 5; 15; 3; 12; 7; 2; 11; 10; 6],  -74.0
[7; 6; 12; 16; 9; 4; 5; 1; 2; 13; 8; 10; 11; 15; 3; 14],  -72.0
[1; 4; 3; 10; 11; 7; 6; 2; 13; 9; 5; 16; 14; 15; 12; 8],  -42.0
[10; 9; 8; 1; 3; 13; 4; 12; 15; 14; 16; 2; 11; 5; 7; 6],  -144.0
[7; 14; 6; 1; 3; 4; 8; 11; 9; 2; 10; 13; 5; 16; 15; 12],  -54.0
[2; 6; 7; 8; 15; 13; 9; 12; 11; 4; 1; 14; 10; 3; 16; 5],  -74.0
[6; 14; 9; 5; 7; 11; 2; 4; 3; 16; 12; 8; 1; 10; 13; 15],  -104.0
[13; 14; 2; 12; 10; 4; 9; 7; 6; 5; 3; 1; 8; 11; 15; 16],  -38.0
[2; 8; 10; 16; 9; 11; 12; 14; 1; 5; 7; 15; 4; 13; 6; 3],  -74.0
[14; 4; 9; 11; 7; 16; 10; 15; 5; 2; 12; 3; 13; 1; 6; 8],  -74.0
[13; 12; 15; 10; 14; 11; 16; 5; 3; 1; 2; 7; 9; 8; 6; 4],  -56.0
[11; 13; 8; 2; 4; 5; 1; 12; 7; 9; 3; 6; 15; 10; 14; 16],  -62.0
[3; 6; 5; 8; 14; 15; 2; 11; 13; 1; 7; 12; 16; 10; 4; 9],  -72.0
[15; 12; 7; 2; 3; 9; 5; 16; 14; 6; 4; 13; 1; 11; 8; 10],  -38.0
[14; 16; 1; 3; 13; 8; 9; 15; 5; 12; 6; 11; 10; 2; 7; 4],  -54.0
[14; 13; 12; 2; 16; 9; 7; 11; 10; 8; 6; 4; 15; 5; 1; 3],  -42.0
[8; 4; 11; 16; 3; 13; 2; 15; 9; 12; 1; 10; 14; 6; 7; 5],  -74.0
[1; 4; 2; 7; 10; 3; 16; 14; 13; 11; 9; 5; 8; 15; 6; 12],  -54.0
