Learning order,Order metric
[8; 10; 5; 11; 7; 15; 1; 3; 2; 4; 6; 12; 14; 9; 13],  -74.0
[15; 4; 6; 10; 14; 9; 7; 11; 12; 13; 8; 1; 5; 2; 3],  -62.0
[8; 15; 10; 1; 4; 2; 3; 14; 9; 11; 13; 5; 12; 7; 6],  -74.0
[2; 8; 6; 7; 9; 14; 5; 15; 11; 1; 13; 4; 12; 3; 10],  -54.0
[5; 9; 11; 14; 6; 13; 2; 15; 8; 10; 12; 1; 4; 7; 3],  -62.0
[6; 14; 5; 10; 7; 2; 11; 12; 8; 4; 1; 3; 15; 13; 9],  -80.0
[2; 9; 11; 5; 15; 10; 1; 13; 4; 8; 12; 3; 14; 6; 7],  -54.0
[5; 11; 3; 12; 2; 10; 15; 4; 13; 8; 6; 14; 7; 9; 1],  -62.0
[13; 3; 5; 15; 7; 2; 11; 6; 8; 12; 9; 1; 14; 10; 4],  -74.0
[7; 11; 4; 9; 8; 14; 3; 6; 2; 5; 12; 13; 1; 10; 15],  -74.0
[4; 2; 14; 5; 15; 7; 6; 3; 1; 11; 9; 13; 8; 10; 12],  -80.0
[1; 2; 13; 9; 7; 14; 11; 10; 5; 3; 15; 12; 6; 4; 8],  -54.0
[11; 15; 7; 5; 10; 3; 2; 14; 9; 4; 12; 8; 1; 13; 6],  -80.0
[1; 10; 7; 6; 5; 2; 13; 8; 12; 11; 3; 9; 14; 4; 15],  -54.0
[2; 4; 13; 15; 6; 5; 11; 3; 14; 1; 10; 7; 8; 12; 9],  -72.0
[9; 5; 2; 8; 6; 3; 1; 11; 12; 15; 14; 7; 13; 4; 10],  -54.0
[1; 6; 8; 4; 10; 5; 11; 15; 2; 9; 3; 13; 7; 14; 12],  -74.0
[11; 9; 8; 3; 13; 5; 4; 15; 10; 7; 12; 6; 14; 1; 2],  -74.0
[10; 5; 13; 3; 11; 15; 6; 8; 9; 4; 2; 7; 14; 1; 12],  -54.0
[9; 5; 12; 2; 11; 1; 15; 6; 3; 13; 10; 4; 7; 8; 14],  -54.0
[9; 6; 14; 11; 5; 13; 10; 15; 12; 2; 8; 3; 7; 1; 4],  -44.0
[6; 9; 14; 7; 12; 5; 11; 8; 13; 3; 2; 4; 10; 15; 1],  -74.0
[11; 10; 6; 9; 7; 3; 12; 15; 2; 14; 1; 8; 5; 4; 13],  -74.0
[11; 7; 15; 1; 3; 6; 13; 2; 8; 9; 4; 12; 14; 5; 10],  -80.0
[12; 4; 10; 11; 15; 2; 1; 3; 8; 13; 9; 7; 14; 5; 6],  -62.0
[15; 1; 2; 13; 12; 5; 14; 10; 4; 8; 9; 11; 7; 6; 3],  -44.0
[6; 12; 9; 11; 2; 4; 8; 13; 14; 5; 15; 10; 3; 7; 1],  -74.0
[5; 12; 4; 6; 8; 9; 13; 15; 3; 7; 1; 11; 14; 10; 2],  -62.0
[2; 4; 15; 1; 14; 7; 3; 11; 8; 13; 6; 12; 9; 10; 5],  -72.0
[7; 10; 14; 13; 4; 1; 11; 12; 9; 8; 6; 2; 15; 5; 3],  -62.0
[4; 11; 15; 2; 1; 9; 13; 10; 5; 8; 14; 6; 7; 3; 12],  -74.0
[3; 6; 10; 8; 15; 5; 12; 9; 7; 1; 14; 13; 4; 2; 11],  -144.0
[15; 13; 3; 7; 9; 1; 12; 2; 6; 14; 4; 11; 8; 5; 10],  -50.0
[4; 15; 12; 5; 9; 14; 2; 10; 11; 1; 3; 13; 8; 6; 7],  -74.0
[2; 6; 10; 14; 8; 5; 11; 13; 7; 9; 12; 3; 4; 15; 1],  -54.0
[5; 6; 8; 12; 11; 1; 7; 15; 3; 2; 13; 4; 14; 9; 10],  -74.0
[1; 5; 2; 3; 15; 8; 6; 10; 11; 7; 4; 9; 12; 14; 13],  -62.0
[7; 3; 15; 10; 14; 5; 4; 8; 2; 9; 12; 11; 6; 13; 1],  -74.0
[14; 15; 13; 12; 7; 11; 1; 2; 10; 5; 8; 9; 3; 6; 4],  -44.0
[11; 1; 15; 9; 13; 3; 8; 6; 2; 4; 5; 14; 10; 7; 12],  -74.0
[8; 6; 7; 15; 14; 4; 2; 13; 1; 3; 9; 12; 5; 11; 10],  -74.0
[5; 10; 6; 11; 1; 13; 3; 9; 4; 15; 7; 8; 12; 2; 14],  -74.0
[6; 12; 5; 1; 11; 9; 7; 15; 10; 13; 4; 14; 8; 2; 3],  -74.0
[7; 8; 9; 2; 11; 14; 1; 15; 10; 12; 6; 3; 13; 5; 4],  -74.0
[4; 10; 6; 7; 15; 5; 8; 3; 13; 14; 2; 11; 1; 12; 9],  -74.0
[13; 6; 8; 1; 2; 7; 4; 14; 5; 10; 15; 12; 11; 3; 9],  -62.0
[13; 7; 3; 15; 6; 14; 4; 1; 9; 5; 11; 12; 8; 2; 10],  -54.0
[10; 9; 15; 14; 1; 13; 7; 5; 8; 4; 6; 11; 2; 12; 3],  -44.0
[6; 10; 4; 1; 5; 14; 12; 13; 7; 2; 11; 9; 8; 3; 15],  -74.0
[9; 4; 1; 15; 7; 8; 14; 2; 12; 3; 13; 11; 10; 6; 5],  -44.0
[3; 4; 7; 9; 2; 10; 15; 5; 12; 11; 13; 8; 1; 6; 14],  -144.0
[1; 13; 10; 7; 9; 2; 11; 12; 6; 5; 15; 4; 14; 3; 8],  -54.0
[15; 5; 1; 6; 11; 13; 8; 7; 14; 12; 2; 4; 9; 3; 10],  -50.0
[1; 3; 4; 5; 8; 6; 11; 13; 9; 15; 2; 10; 14; 7; 12],  -144.0
[4; 13; 12; 6; 2; 9; 14; 7; 5; 15; 3; 11; 1; 8; 10],  -72.0
[5; 7; 2; 1; 11; 9; 6; 15; 8; 10; 4; 12; 14; 13; 3],  -62.0
[4; 12; 7; 1; 9; 14; 5; 13; 15; 11; 6; 2; 10; 3; 8],  -72.0
[12; 14; 5; 11; 15; 13; 9; 2; 10; 4; 1; 8; 3; 7; 6],  -38.0
[5; 2; 7; 9; 1; 13; 12; 11; 6; 4; 8; 10; 14; 15; 3],  -62.0
[5; 8; 1; 13; 12; 14; 7; 11; 15; 9; 6; 2; 10; 3; 4],  -62.0
[3; 5; 8; 1; 11; 12; 7; 10; 6; 4; 13; 9; 14; 2; 15],  -144.0
[12; 14; 1; 7; 6; 11; 2; 10; 13; 9; 4; 3; 15; 5; 8],  -38.0
[8; 12; 2; 5; 9; 15; 1; 11; 13; 14; 3; 4; 10; 7; 6],  -74.0
[9; 8; 14; 4; 13; 6; 1; 5; 10; 11; 3; 15; 12; 7; 2],  -62.0
[2; 1; 11; 10; 9; 8; 4; 7; 3; 12; 14; 5; 13; 15; 6],  -54.0
[15; 14; 10; 9; 3; 1; 5; 11; 2; 12; 8; 6; 7; 13; 4],  -44.0
[8; 15; 10; 7; 2; 13; 11; 5; 14; 3; 1; 6; 4; 12; 9],  -80.0
[6; 14; 15; 8; 5; 2; 7; 1; 10; 11; 3; 4; 12; 13; 9],  -74.0
[4; 5; 12; 6; 10; 8; 15; 9; 1; 2; 14; 11; 13; 7; 3],  -72.0
[11; 12; 13; 6; 5; 4; 7; 9; 10; 2; 3; 15; 8; 14; 1],  -74.0
[14; 9; 3; 10; 11; 2; 13; 1; 7; 8; 6; 5; 12; 15; 4],  -74.0
[14; 7; 3; 11; 9; 2; 8; 13; 15; 12; 5; 4; 10; 1; 6],  -74.0
[10; 13; 9; 11; 14; 3; 12; 1; 5; 4; 6; 7; 8; 15; 2],  -44.0
[13; 7; 11; 9; 2; 8; 3; 5; 10; 12; 1; 15; 4; 6; 14],  -54.0
[13; 9; 4; 3; 10; 7; 6; 15; 14; 11; 8; 5; 2; 12; 1],  -50.0
[8; 6; 14; 15; 1; 4; 3; 2; 7; 9; 5; 10; 13; 12; 11],  -74.0
[3; 14; 8; 9; 6; 15; 1; 7; 4; 5; 10; 13; 2; 12; 11],  -144.0
[1; 5; 15; 9; 14; 11; 7; 2; 3; 10; 4; 12; 8; 13; 6],  -62.0
[4; 6; 13; 5; 8; 10; 11; 7; 15; 12; 14; 3; 1; 2; 9],  -74.0
[14; 9; 11; 1; 13; 6; 4; 3; 7; 5; 15; 10; 12; 8; 2],  -62.0
