Learning order,PL* rounds,PL* MQ resets,PL* MQ input symbols,PL* EQ resets,PL* EQ input symbols,PL* total resets,PL* total input symbols,Non-adaptive rounds,Non-adaptive MQ resets,Non-adaptive MQ input symbols,Non-adaptive EQ resets,Non-adaptive EQ input symbols,Non-adaptive total resets,Non-adaptive total input symbols
[12; 9; 14; 6; 5; 13; 16; 3; 1; 15; 11; 8; 10; 2; 4; 7], 16, 729302, 5871518, 79555907, 764387125, 80285209, 770258643,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[7; 1; 6; 16; 15; 4; 13; 14; 8; 3; 5; 2; 12; 10; 9; 11], 18, 711010, 5323262, 76456149, 734245005, 77167159, 739568267,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[13; 2; 15; 1; 9; 11; 5; 12; 8; 10; 16; 6; 4; 14; 7; 3], 16, 759998, 6227490, 76889044, 737273798, 77649042, 743501288,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[2; 11; 4; 14; 12; 1; 15; 8; 7; 3; 6; 10; 13; 16; 5; 9], 16, 709988, 5427044, 74328858, 712048134, 75038846, 717475178,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[15; 10; 11; 12; 3; 5; 4; 16; 7; 2; 8; 14; 13; 1; 6; 9], 18, 810236, 6092765, 78211431, 748801425, 79021667, 754894190,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[1; 2; 3; 7; 8; 12; 6; 11; 14; 13; 10; 4; 5; 9; 15; 16], 16, 695138, 5459458, 75410326, 723816817, 76105464, 729276275,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[14; 9; 15; 10; 2; 1; 4; 8; 16; 3; 12; 11; 5; 13; 7; 6], 16, 808518, 6636647, 75459597, 723538549, 76268115, 730175196,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[1; 8; 14; 10; 15; 3; 9; 7; 12; 6; 11; 2; 16; 5; 13; 4], 16, 805642, 6043216, 76528692, 733343851, 77334334, 739387067,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[6; 15; 12; 13; 1; 10; 4; 16; 7; 2; 14; 9; 11; 5; 3; 8], 18, 738518, 5509250, 76876669, 735729448, 77615187, 741238698,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[5; 15; 6; 13; 9; 12; 8; 16; 4; 2; 7; 1; 14; 11; 10; 3], 16, 708972, 5362004, 76484484, 732731910, 77193456, 738093914,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
