Learning order,PL* rounds,PL* MQ resets,PL* MQ input symbols,PL* EQ resets,PL* EQ input symbols,PL* total resets,PL* total input symbols,Non-adaptive rounds,Non-adaptive MQ resets,Non-adaptive MQ input symbols,Non-adaptive EQ resets,Non-adaptive EQ input symbols,Non-adaptive total resets,Non-adaptive total input symbols
[8; 10; 5; 11; 7; 15; 1; 3; 2; 4; 6; 12; 14; 9; 13], 17, 78040, 429305, 3766011, 24560449, 3844051, 24989754,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[15; 4; 6; 10; 14; 9; 7; 11; 12; 13; 8; 1; 5; 2; 3], 18, 79107, 436132, 3669807, 23937537, 3748914, 24373669,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[8; 15; 10; 1; 4; 2; 3; 14; 9; 11; 13; 5; 12; 7; 6], 18, 77676, 425415, 3790865, 24698445, 3868541, 25123860,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[2; 8; 6; 7; 9; 14; 5; 15; 11; 1; 13; 4; 12; 3; 10], 18, 77263, 423756, 3730389, 24333339, 3807652, 24757095,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[5; 9; 11; 14; 6; 13; 2; 15; 8; 10; 12; 1; 4; 7; 3], 17, 77787, 427781, 3762769, 24539406, 3840556, 24967187,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[6; 14; 5; 10; 7; 2; 11; 12; 8; 4; 1; 3; 15; 13; 9], 17, 79220, 436855, 3794807, 24779975, 3874027, 25216830,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[2; 9; 11; 5; 15; 10; 1; 13; 4; 8; 12; 3; 14; 6; 7], 18, 77873, 427903, 3700587, 24123939, 3778460, 24551842,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[5; 11; 3; 12; 2; 10; 15; 4; 13; 8; 6; 14; 7; 9; 1], 18, 76539, 419822, 3710877, 24182050, 3787416, 24601872,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[13; 3; 5; 15; 7; 2; 11; 6; 8; 12; 9; 1; 14; 10; 4], 19, 79827, 439379, 3835305, 24940474, 3915132, 25379853,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[7; 11; 4; 9; 8; 14; 3; 6; 2; 5; 12; 13; 1; 10; 15], 18, 79699, 438390, 3733035, 24272513, 3812734, 24710903,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[4; 2; 14; 5; 15; 7; 6; 3; 1; 11; 9; 13; 8; 10; 12], 18, 79093, 435791, 3777155, 24644775, 3856248, 25080566,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[1; 2; 13; 9; 7; 14; 11; 10; 5; 3; 15; 12; 6; 4; 8], 16, 77767, 427376, 3670761, 23968839, 3748528, 24396215,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[11; 15; 7; 5; 10; 3; 2; 14; 9; 4; 12; 8; 1; 13; 6], 18, 78603, 432808, 3792222, 24712878, 3870825, 25145686,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[1; 10; 7; 6; 5; 2; 13; 8; 12; 11; 3; 9; 14; 4; 15], 18, 79064, 435812, 3794273, 24776710, 3873337, 25212522,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[2; 4; 13; 15; 6; 5; 11; 3; 14; 1; 10; 7; 8; 12; 9], 18, 79418, 436784, 3659727, 23900860, 3739145, 24337644,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[9; 5; 2; 8; 6; 3; 1; 11; 12; 15; 14; 7; 13; 4; 10], 15, 78258, 432479, 3648185, 23798238, 3726443, 24230717,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[1; 6; 8; 4; 10; 5; 11; 15; 2; 9; 3; 13; 7; 14; 12], 19, 78633, 431849, 3765854, 24512047, 3844487, 24943896,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[11; 9; 8; 3; 13; 5; 4; 15; 10; 7; 12; 6; 14; 1; 2], 17, 76647, 418979, 3759130, 24541014, 3835777, 24959993,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[10; 5; 13; 3; 11; 15; 6; 8; 9; 4; 2; 7; 14; 1; 12], 19, 76848, 420459, 3840140, 24991420, 3916988, 25411879,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[9; 5; 12; 2; 11; 1; 15; 6; 3; 13; 10; 4; 7; 8; 14], 15, 78697, 433800, 3654503, 23845930, 3733200, 24279730,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[9; 6; 14; 11; 5; 13; 10; 15; 12; 2; 8; 3; 7; 1; 4], 19, 78452, 430551, 3736656, 24351769, 3815108, 24782320,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[6; 9; 14; 7; 12; 5; 11; 8; 13; 3; 2; 4; 10; 15; 1], 18, 80006, 442060, 3819390, 24928073, 3899396, 25370133,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[11; 10; 6; 9; 7; 3; 12; 15; 2; 14; 1; 8; 5; 4; 13], 20, 80092, 440886, 3827435, 24944190, 3907527, 25385076,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[11; 7; 15; 1; 3; 6; 13; 2; 8; 9; 4; 12; 14; 5; 10], 18, 80199, 444324, 3825313, 24885483, 3905512, 25329807,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[12; 4; 10; 11; 15; 2; 1; 3; 8; 13; 9; 7; 14; 5; 6], 19, 80629, 444413, 3738150, 24344101, 3818779, 24788514,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[15; 1; 2; 13; 12; 5; 14; 10; 4; 8; 9; 11; 7; 6; 3], 18, 77610, 426279, 3790809, 24704351, 3868419, 25130630,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[6; 12; 9; 11; 2; 4; 8; 13; 14; 5; 15; 10; 3; 7; 1], 20, 80305, 442461, 3778709, 24679603, 3859014, 25122064,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[5; 12; 4; 6; 8; 9; 13; 15; 3; 7; 1; 11; 14; 10; 2], 19, 79738, 438852, 3829410, 25027064, 3909148, 25465916,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[2; 4; 15; 1; 14; 7; 3; 11; 8; 13; 6; 12; 9; 10; 5], 18, 80461, 445032, 3780728, 24686194, 3861189, 25131226,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[7; 10; 14; 13; 4; 1; 11; 12; 9; 8; 6; 2; 15; 5; 3], 18, 77773, 427514, 3799411, 24767456, 3877184, 25194970,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[4; 11; 15; 2; 1; 9; 13; 10; 5; 8; 14; 6; 7; 3; 12], 18, 77359, 423441, 3768088, 24577926, 3845447, 25001367,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[3; 6; 10; 8; 15; 5; 12; 9; 7; 1; 14; 13; 4; 2; 11], 19, 79596, 439486, 3847944, 25032930, 3927540, 25472416,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[15; 13; 3; 7; 9; 1; 12; 2; 6; 14; 4; 11; 8; 5; 10], 16, 76959, 422468, 3675204, 23997238, 3752163, 24419706,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[4; 15; 12; 5; 9; 14; 2; 10; 11; 1; 3; 13; 8; 6; 7], 18, 78274, 429205, 3744260, 24427317, 3822534, 24856522,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
[2; 6; 10; 14; 8; 5; 11; 13; 7; 9; 12; 3; 4; 15; 1], 18, 79372, 437737, 3698677, 24121189, 3778049, 24558926,30, 73937, 401613, 4355463, 28235499, 4429400, 28637112
