t,"Walkinshaw local similarity metric (# states, # transitions)",,"our local similarity metric (# states, # transitions)",
0,864,23885,864,23832
0.05,864,23727,864,23380
0.1,864,23686,881,22619
0.15,864,23585,904,22271
0.2,864,23538,909,21796
0.25,864,23422,912,21670
0.3,864,23366,910,21520
0.35,864,23285,925,21238
0.4,864,23152,907,21261
0.45,867,22986,918,20491
0.5,865,22782,923,20769
0.55,886,22994,911,20078
0.6,870,22670,918,20201
0.65,873,22466,984,20907
0.7,870,22265,913,19308
0.75,883,22100,917,19405
0.8,880,21800,912,19222
0.85,901,21593,912,19015
0.9,904,20791,912,19015
0.95,927,20331,912,19015
1,912,19037,912,19015
