i,mi size,input FFSM size,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,rounded average,SD
1,14,,,,,,,,,,,,,
2,16,14,486,533,534,490,561,520,544,528,552,543,529,25
3,26,16,396,418,406,404,402,404,422,407,415,409,408,8
4,28,30,577,598,923,550,571,551,742,574,489,569,614,126
5,30,36,629,575,622,608,529,602,534,536,497,634,577,49
6,32,39,587,623,575,652,593,754,595,670,584,613,625,55
7,42,41,771,776,766,843,778,795,786,749,721,846,783,38
8,48,48,752,954,811,928,837,774,932,897,735,884,850,80
9,52,57,863,957,872,1000,868,913,883,926,854,858,899,49
10,52,65,1023,998,987,1012,1076,923,963,1047,1091,1090,1021,56
11,78,70,1324,1464,1399,1360,1282,1362,1319,1307,1309,1354,1348,53
12,84,90,1912,1989,1948,1992,1845,1914,2061,1936,1909,1951,1946,59
13,96,97,2266,2333,2328,2350,2267,2323,2300,2237,2273,2242,2292,40
14,180,113,5220,5445,5410,5745,5177,5306,5460,5398,5395,5421,5398,155
15,234,184,13096,13567,13841,13998,13182,13475,13968,13609,13469,13884,13609,315
16,864,267,245651,253128,260317,257498,237226,249985,253975,253212,245910,257253,251416,6912
