i,mi size,input FFSM size,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,rounded average,SD
1,14,,,,,,,,,,,,,
2,16,14,498,550,509,556,500,501,511,564,518,493,520,26
3,26,16,436,411,444,448,434,428,418,421,598,414,445,55
4,28,30,570,583,573,664,567,719,578,577,556,560,595,53
5,30,36,577,551,511,649,633,583,599,605,528,611,585,44
6,32,39,595,559,599,591,675,620,583,598,588,587,600,31
7,42,41,1231,818,753,775,779,825,777,745,804,743,825,146
8,48,48,955,904,962,978,956,1015,908,902,930,919,943,37
9,52,57,940,1179,916,956,1054,1003,1021,990,995,946,1000,75
10,52,65,1026,1231,1051,972,999,977,1099,1021,1004,1033,1041,76
11,78,70,1476,1539,1428,1425,1463,1438,1465,1441,1411,1436,1452,37
12,84,90,2012,2027,2015,1992,1981,2019,1989,2017,1960,2025,2004,22
13,96,97,2769,2638,2530,2475,2466,2507,2590,2490,2493,2826,2578,128
14,180,113,5996,6311,6001,5996,5921,5954,5993,5957,5879,6051,6006,117
15,234,184,14632,15386,14995,14941,14494,14859,14853,15082,14597,14996,14884,262
16,864,267,262899,271130,261909,271520,261817,264155,258977,264446,255929,263566,263635,4798
